id,title,description,vendor,price,inventory,image_url
1,Omega-3 Fish Oil 1000mg,High-quality omega-3 fatty acids for heart and brain health. Contains EPA and DHA.,Nordic Naturals,29.99,150,
2,Vitamin D3 5000 IU,Supports bone health and immune function. Easy-to-absorb softgel form.,Now Foods,12.99,200,
3,Magnesium Glycinate 400mg,Highly absorbable magnesium for muscle relaxation and nerve health. Gentle on the stomach.,Doctor's Best,18.99,75,
4,Whey Protein Isolate Chocolate,Premium whey protein isolate for muscle recovery and growth. 25g protein per serving.,Optimum Nutrition,54.99,50,
5,Probiotic 50 Billion CFU,Advanced digestive health support with 50 billion live cultures and 16 strains.,Garden of Life,35.99,30,
6,Collagen Peptides Powder,Grass-fed collagen peptides to support skin elasticity and joint health.,Vital Proteins,39.99,80,
7,Ashwagandha KSM-66 Extract,Adaptogenic root extract for stress relief energy and vitality. Clinically studied.,KSM-66,24.99,0,
8,Turmeric Curcumin with BioPerine,Anti-inflammatory support with 95% curcuminoids and black pepper extract for absorption.,Thorne Research,22.99,120,
9,Zinc Picolinate 30mg,Highly bioavailable zinc picolinate for immune support wound healing and skin health.,Jarrow Formulas,9.99,180,
10,CoQ10 Ubiquinol 200mg,Active reduced form of CoQ10 for cellular energy production and cardiovascular health.,Qunol,44.99,60,
11,Iron Bisglycinate 25mg,Gentle non-constipating iron supplement for energy and healthy red blood cells.,Solgar,14.99,0,
12,Vitamin B12 Methylcobalamin 1000mcg,Active methylcobalamin form of B12 for energy metabolism and nerve health.,Jarrow Formulas,11.99,250,
13,Creatine Monohydrate 500g,Micronized creatine monohydrate for increased strength power and muscle volume.,Optimum Nutrition,19.99,100,
14,L-Glutamine Powder 500g,Essential amino acid for gut lining integrity and post-workout muscle recovery.,Now Foods,16.99,40,
15,Plant-Based Protein Vanilla,Complete protein blend from organic pea and brown rice. Vegan and soy-free.,Garden of Life,49.99,65,
16,Alpha Lipoic Acid 600mg,Powerful antioxidant that supports healthy blood sugar levels and nerve function.,Doctor's Best,21.99,90,
17,Biotin 10000mcg,High-potency biotin for healthy hair skin and nails. Supports energy metabolism.,Now Foods,8.99,320,
18,Quercetin with Bromelain,Natural bioflavonoid and enzyme complex for immune and respiratory health support.,Jarrow Formulas,19.99,0,
19,Berberine HCl 500mg,Plant alkaloid clinically studied for healthy blood sugar and cholesterol levels.,Thorne Research,34.99,45,
20,Digestive Enzymes Ultra,Comprehensive digestive enzyme blend to support protein fat and carbohydrate digestion.,Now Foods,23.99,110,
